epoch,epoch_loss,split,loss,acc,sample_fn
89,0.5210597,val,0.851289,0.6341463414634146,gumbel_soft
89,0.5210597,test,0.60136425,0.7837837837837838,gumbel_soft
90,0.5784385,train,0.51620376,0.8084415584415584,gumbel_soft
90,0.5784385,val,0.64196557,0.7317073170731707,gumbel_soft
90,0.5784385,test,0.8054457,0.7297297297297297,gumbel_soft
91,0.5378607,train,0.4307113,0.8441558441558441,gumbel_soft
91,0.5378607,val,1.2867254,0.5853658536585366,gumbel_soft
91,0.5378607,test,0.9963293,0.5945945945945946,gumbel_soft
92,0.5259309,train,0.52691,0.762987012987013,gumbel_soft
92,0.5259309,val,0.83529526,0.6829268292682927,gumbel_soft
92,0.5259309,test,0.50683135,0.7567567567567568,gumbel_soft
93,0.34798175,train,0.4396872,0.7954545454545454,gumbel_soft
93,0.34798175,val,0.9927995,0.6341463414634146,gumbel_soft
93,0.34798175,test,0.726411,0.6756756756756757,gumbel_soft
94,0.47441313,train,0.5041225,0.7857142857142857,gumbel_soft
94,0.47441313,val,0.6948665,0.7804878048780488,gumbel_soft
94,0.47441313,test,0.3874486,0.7837837837837838,gumbel_soft
95,0.4915146,train,0.4839795,0.7954545454545454,gumbel_soft
95,0.4915146,val,0.6509585,0.6829268292682927,gumbel_soft
95,0.4915146,test,0.5805645,0.7837837837837838,gumbel_soft
96,0.5864537,train,0.5250268,0.762987012987013,gumbel_soft
96,0.5864537,val,0.7251767,0.7073170731707317,gumbel_soft
96,0.5864537,test,0.69404006,0.7297297297297297,gumbel_soft
97,0.5394246,train,0.4939774,0.7922077922077922,gumbel_soft
97,0.5394246,val,0.78117394,0.7073170731707317,gumbel_soft
97,0.5394246,test,1.1724446,0.6216216216216216,gumbel_soft
98,0.42444584,train,0.47872487,0.8051948051948052,gumbel_soft
98,0.42444584,val,0.7682732,0.7804878048780488,gumbel_soft
98,0.42444584,test,0.59542906,0.7297297297297297,gumbel_soft
99,0.48332006,train,0.5699076,0.75,gumbel_soft
99,0.48332006,val,0.6698549,0.7073170731707317,gumbel_soft
99,0.48332006,test,0.65156996,0.6756756756756757,gumbel_soft
100,0.5189767,train,0.41672215,0.8181818181818182,gumbel_soft
100,0.5189767,val,1.1793431,0.5609756097560976,gumbel_soft
100,0.5189767,test,0.7356289,0.5675675675675675,gumbel_soft
101,0.53039944,train,0.4558761,0.788961038961039,gumbel_soft
101,0.53039944,val,0.6541436,0.7317073170731707,gumbel_soft
101,0.53039944,test,0.61988604,0.7027027027027027,gumbel_soft
102,0.5914262,train,0.5026545,0.7824675324675324,gumbel_soft
102,0.5914262,val,0.6895824,0.7073170731707317,gumbel_soft
102,0.5914262,test,0.5615344,0.7297297297297297,gumbel_soft
103,0.63577265,train,0.56464016,0.7922077922077922,gumbel_soft
103,0.63577265,val,0.63275915,0.7560975609756098,gumbel_soft
103,0.63577265,test,0.7335762,0.6486486486486487,gumbel_soft
104,0.55093014,train,0.4122589,0.8181818181818182,gumbel_soft
104,0.55093014,val,0.5850604,0.8048780487804879,gumbel_soft
104,0.55093014,test,0.5586718,0.7567567567567568,gumbel_soft
105,0.55439675,train,0.42990994,0.8214285714285714,gumbel_soft
105,0.55439675,val,0.68225837,0.6829268292682927,gumbel_soft
105,0.55439675,test,0.55536306,0.7297297297297297,gumbel_soft
106,0.5428819,train,0.52976567,0.7435064935064936,gumbel_soft
106,0.5428819,val,0.553507,0.7560975609756098,gumbel_soft
106,0.5428819,test,0.52371424,0.7837837837837838,gumbel_soft
107,0.376778,train,0.59608483,0.7564935064935064,gumbel_soft
107,0.376778,val,0.86836153,0.6097560975609756,gumbel_soft
107,0.376778,test,0.6806795,0.7027027027027027,gumbel_soft
108,0.6184545,train,0.6521758,0.7272727272727273,gumbel_soft
108,0.6184545,val,0.6919141,0.7317073170731707,gumbel_soft
108,0.6184545,test,0.52415067,0.7027027027027027,gumbel_soft
109,0.44829056,train,0.4890374,0.775974025974026,gumbel_soft
109,0.44829056,val,0.69725204,0.7073170731707317,gumbel_soft
109,0.44829056,test,0.521752,0.7567567567567568,gumbel_soft
110,0.564434,train,0.43351284,0.8084415584415584,gumbel_soft
110,0.564434,val,0.65095747,0.7073170731707317,gumbel_soft
110,0.564434,test,0.73661673,0.6486486486486487,gumbel_soft
111,0.67097616,train,0.52412736,0.775974025974026,gumbel_soft
111,0.67097616,val,0.7928015,0.7073170731707317,gumbel_soft
111,0.67097616,test,0.5328314,0.7837837837837838,gumbel_soft
112,0.49012715,train,0.52291095,0.7954545454545454,gumbel_soft
112,0.49012715,val,1.1019043,0.5121951219512195,gumbel_soft
112,0.49012715,test,0.57538325,0.7837837837837838,gumbel_soft
113,0.49252447,train,0.48384076,0.7922077922077922,gumbel_soft
113,0.49252447,val,0.79168296,0.7804878048780488,gumbel_soft
113,0.49252447,test,0.66358805,0.6216216216216216,gumbel_soft
114,0.50832736,train,0.62081903,0.7792207792207793,gumbel_soft
114,0.50832736,val,1.1251786,0.6829268292682927,gumbel_soft
114,0.50832736,test,0.84457934,0.7027027027027027,gumbel_soft
115,0.55720735,train,0.54211885,0.7727272727272727,gumbel_soft
115,0.55720735,val,1.072695,0.6341463414634146,gumbel_soft
115,0.55720735,test,0.43413,0.7837837837837838,gumbel_soft
116,0.54100883,train,0.5108854,0.762987012987013,gumbel_soft
116,0.54100883,val,1.1667777,0.6829268292682927,gumbel_soft
116,0.54100883,test,0.6359782,0.7027027027027027,gumbel_soft
117,0.56342304,train,0.5949199,0.7662337662337663,gumbel_soft
117,0.56342304,val,0.9408755,0.5853658536585366,gumbel_soft
117,0.56342304,test,0.5498732,0.7027027027027027,gumbel_soft
118,0.4151716,train,0.6299749,0.762987012987013,gumbel_soft
118,0.4151716,val,1.0809529,0.6829268292682927,gumbel_soft
118,0.4151716,test,0.6614466,0.7297297297297297,gumbel_soft
119,0.6212189,train,0.43034807,0.827922077922078,gumbel_soft
119,0.6212189,val,0.8369709,0.6585365853658537,gumbel_soft
119,0.6212189,test,0.7099663,0.6486486486486487,gumbel_soft
120,0.527742,train,0.53322244,0.7694805194805194,gumbel_soft
120,0.527742,val,0.9011204,0.7560975609756098,gumbel_soft
120,0.527742,test,0.9962703,0.6756756756756757,gumbel_soft
121,0.4737315,train,0.60776913,0.7564935064935064,gumbel_soft
121,0.4737315,val,0.82528543,0.6341463414634146,gumbel_soft
121,0.4737315,test,0.69489485,0.7297297297297297,gumbel_soft
122,0.73424697,train,0.7836314,0.7175324675324676,gumbel_soft
122,0.73424697,val,0.6657089,0.6829268292682927,gumbel_soft
122,0.73424697,test,0.5860755,0.7297297297297297,gumbel_soft
123,0.6163101,train,0.5036041,0.8051948051948052,gumbel_soft
123,0.6163101,val,0.96444196,0.7317073170731707,gumbel_soft
123,0.6163101,test,0.97720164,0.5945945945945946,gumbel_soft
124,0.510726,train,0.48054773,0.7954545454545454,gumbel_soft
124,0.510726,val,0.7747729,0.6829268292682927,gumbel_soft
124,0.510726,test,0.6791163,0.7027027027027027,gumbel_soft
125,0.5632227,train,0.45978773,0.7987012987012987,gumbel_soft
125,0.5632227,val,0.7649606,0.8048780487804879,gumbel_soft
125,0.5632227,test,0.9367415,0.6486486486486487,gumbel_soft
126,0.51463735,train,0.58509326,0.775974025974026,gumbel_soft
126,0.51463735,val,1.0357064,0.6829268292682927,gumbel_soft
126,0.51463735,test,0.79544044,0.6486486486486487,gumbel_soft
127,0.4508933,train,0.5038733,0.7857142857142857,gumbel_soft
127,0.4508933,val,1.2327288,0.7073170731707317,gumbel_soft
127,0.4508933,test,0.53979075,0.7297297297297297,gumbel_soft
128,0.6490042,train,0.67573756,0.7402597402597403,gumbel_soft
128,0.6490042,val,0.77745074,0.7073170731707317,gumbel_soft
128,0.6490042,test,0.59792256,0.7567567567567568,gumbel_soft
129,0.5966915,train,0.48101765,0.801948051948052,gumbel_soft
129,0.5966915,val,0.78651696,0.6341463414634146,gumbel_soft
129,0.5966915,test,0.9976783,0.5405405405405406,gumbel_soft
130,0.5229328,train,0.55385107,0.7954545454545454,gumbel_soft
130,0.5229328,val,0.6147235,0.7073170731707317,gumbel_soft
130,0.5229328,test,0.64222276,0.7297297297297297,gumbel_soft
131,0.4960177,train,0.46434963,0.8116883116883117,gumbel_soft
131,0.4960177,val,0.7718118,0.6341463414634146,gumbel_soft
131,0.4960177,test,0.63940513,0.7027027027027027,gumbel_soft
132,0.48060074,train,0.48527396,0.788961038961039,gumbel_soft
132,0.48060074,val,0.9314145,0.6829268292682927,gumbel_soft
132,0.48060074,test,0.6834732,0.6216216216216216,gumbel_soft
133,0.44605967,train,0.6936786,0.7337662337662337,gumbel_soft
133,0.44605967,val,0.92761874,0.6829268292682927,gumbel_soft
133,0.44605967,test,0.5506021,0.7027027027027027,gumbel_soft
134,0.4798338,train,0.66438097,0.737012987012987,gumbel_soft
134,0.4798338,val,0.68999946,0.7317073170731707,gumbel_soft
134,0.4798338,test,0.65861213,0.6756756756756757,gumbel_soft
135,0.5907143,train,0.47448668,0.8051948051948052,gumbel_soft
135,0.5907143,val,0.63989484,0.6829268292682927,gumbel_soft
135,0.5907143,test,0.6517299,0.6216216216216216,gumbel_soft
136,0.6363114,train,0.5049538,0.775974025974026,gumbel_soft
136,0.6363114,val,1.2762694,0.6585365853658537,gumbel_soft
136,0.6363114,test,0.7116393,0.6756756756756757,gumbel_soft
137,0.52761847,train,0.5883644,0.7597402597402597,gumbel_soft
137,0.52761847,val,0.950701,0.7317073170731707,gumbel_soft
137,0.52761847,test,0.483383,0.7297297297297297,gumbel_soft
138,0.5070052,train,0.45896253,0.814935064935065,gumbel_soft
138,0.5070052,val,0.839721,0.6341463414634146,gumbel_soft
138,0.5070052,test,0.8659445,0.6216216216216216,gumbel_soft
139,0.7089326,train,0.46036863,0.7954545454545454,gumbel_soft
139,0.7089326,val,0.8010565,0.7073170731707317,gumbel_soft
139,0.7089326,test,0.6498476,0.7567567567567568,gumbel_soft
140,0.4978189,train,0.5266822,0.7824675324675324,gumbel_soft
140,0.4978189,val,0.8549072,0.6585365853658537,gumbel_soft
140,0.4978189,test,0.7989632,0.5945945945945946,gumbel_soft
141,0.5888504,train,0.5644234,0.775974025974026,gumbel_soft
